# t(ms)	mean_x1	mean_x2
8.85	-0.00106102	-1.46807
8.9	0.0186254	-1.46806
8.95	0.0486087	-1.46795
9	0.0794441	-1.4679
9.05	0.0946415	-1.46774
9.1	0.120049	-1.4674
9.15	0.124619	-1.4671
9.2	0.144795	-1.4666
9.25	0.173102	-1.46615
9.3	0.190888	-1.4655
9.35	0.211385	-1.46483
9.4	0.241727	-1.46398
9.45	0.277917	-1.46313
9.5	0.297625	-1.4622
9.55	0.341182	-1.4613
9.6	0.356176	-1.46033
9.65	0.396885	-1.45919
9.7	0.408797	-1.45809
9.75	0.443331	-1.45687
9.8	0.475017	-1.4557
9.85	0.519094	-1.45446
9.9	0.541142	-1.45316
9.95	0.571605	-1.45184
10	0.590171	-1.45036
10.05	0.616161	-1.44897
10.1	0.628133	-1.44748
10.15	0.639503	-1.44593
10.2	0.643636	-1.44436
10.25	0.64756	-1.4428
10.3	0.642212	-1.4412
10.35	0.628568	-1.43959
10.4	0.61402	-1.43797
10.45	0.606515	-1.43636
10.5	0.588812	-1.43469
10.55	0.542688	-1.43307
10.6	0.536414	-1.43137
10.65	0.498541	-1.42965
10.7	0.447955	-1.42806
10.75	0.42866	-1.42634
10.8	0.398079	-1.42468
10.85	0.376368	-1.4229
10.9	0.335327	-1.42127
10.95	0.306159	-1.41959
11	0.277142	-1.41796
11.05	0.23876	-1.41627
11.1	0.205757	-1.4146
11.15	0.186079	-1.41286
11.2	0.165904	-1.41116
11.25	0.123647	-1.40948
11.3	0.0679801	-1.40779
11.35	0.0308329	-1.40618
11.4	0.00498503	-1.40459
11.45	-0.0162238	-1.40312
11.5	-0.044687	-1.4017
11.55	-0.0712542	-1.40024
11.6	-0.104421	-1.39881
11.65	-0.119299	-1.39755
11.7	-0.140182	-1.39628
11.75	-0.1788	-1.39514
11.8	-0.211812	-1.39387
11.85	-0.230138	-1.39276
11.9	-0.258864	-1.39167
11.95	-0.270595	-1.39055
12	-0.299419	-1.38959
12.05	-0.310749	-1.3886
12.1	-0.321208	-1.38772
12.15	-0.339718	-1.38676
12.2	-0.348714	-1.38589
12.25	-0.367389	-1.38511
12.3	-0.368135	-1.38432
12.35	-0.362228	-1.38362
12.4	-0.372959	-1.38301
12.45	-0.378684	-1.38241
12.5	-0.392451	-1.38176
12.55	-0.389481	-1.38127
12.6	-0.397763	-1.38075
12.65	-0.408392	-1.38036
12.7	-0.403811	-1.37992
12.75	-0.390778	-1.37956
12.8	-0.380846	-1.37926
12.85	-0.391755	-1.37898
12.9	-0.392615	-1.37872
12.95	-0.387115	-1.37858
13	-0.377521	-1.37834
13.05	-0.387846	-1.37818
13.1	-0.371321	-1.37805
13.15	-0.35665	-1.37783
13.2	-0.352582	-1.37784
13.25	-0.331743	-1.37781
13.3	-0.32793	-1.37781
13.35	-0.317146	-1.3777
13.4	-0.294404	-1.37779
13.45	-0.285025	-1.37778
13.5	-0.280343	-1.37788
13.55	-0.278399	-1.37806
13.6	-0.269601	-1.37828
13.65	-0.276973	-1.37839
13.7	-0.273358	-1.37862
13.75	-0.271669	-1.37884
13.8	-0.253227	-1.37914
13.85	-0.235279	-1.37953
13.9	-0.229138	-1.37984
13.95	-0.222085	-1.38013
14	-0.217269	-1.38036
14.05	-0.199227	-1.38075
14.1	-0.189309	-1.38107
14.15	-0.17004	-1.38142
14.2	-0.150509	-1.38179
14.25	-0.150968	-1.38214
14.3	-0.161128	-1.38262
14.35	-0.151479	-1.38293
14.4	-0.138533	-1.38327
14.45	-0.141076	-1.3837
14.5	-0.120667	-1.38405
14.55	-0.101356	-1.38447
14.6	-0.0882553	-1.38469
14.65	-0.0759508	-1.38502
14.7	-0.0631871	-1.38539
14.75	-0.0346632	-1.38563
14.8	-0.0208822	-1.38581
14.85	0.00153854	-1.38597
14.9	0.0211984	-1.38609
14.95	0.0450516	-1.38625
15	0.0683756	-1.38624
15.05	0.0741497	-1.38618
15.1	0.0784608	-1.38604
15.15	0.117942	-1.38585
15.2	0.14743	-1.38555
15.25	0.169772	-1.38513
15.3	0.199317	-1.38471
15.35	0.211459	-1.38414
15.4	0.24405	-1.38334
15.45	0.271898	-1.38257
15.5	0.303358	-1.38174
15.55	0.336303	-1.38075
15.6	0.381398	-1.37964
15.65	0.414466	-1.37855
15.7	0.456894	-1.37743
15.75	0.472737	-1.37618
15.8	0.52654	-1.37487
15.85	0.561075	-1.37347
15.9	0.590464	-1.37202
15.95	0.627222	-1.3706
16	0.657028	-1.36905
16.05	0.698348	-1.36752
16.1	0.728922	-1.36595
16.15	0.773614	-1.36435
16.2	0.79818	-1.36259
16.25	0.829467	-1.36078
16.3	0.854159	-1.35904
16.35	0.884381	-1.3573
16.4	0.907964	-1.35548
16.45	0.928076	-1.35356
16.5	0.936074	-1.3516
16.55	0.946355	-1.3497
16.6	0.962378	-1.34773
16.65	0.963856	-1.34582
16.7	0.966941	-1.34386
16.75	0.949057	-1.34191
16.8	0.928067	-1.33966
16.85	0.903778	-1.3376
16.9	0.859326	-1.33555
16.95	0.820322	-1.33343
17	0.776677	-1.33129
17.05	0.713453	-1.32907
17.1	0.665124	-1.32704
17.15	0.603939	-1.32492
17.2	0.538157	-1.32275
17.25	0.441899	-1.32054
17.3	0.337899	-1.31834
17.35	0.227234	-1.31615
17.4	0.123895	-1.31393
17.45	0.0138274	-1.31172
17.5	-0.0957338	-1.30955
17.55	-0.203933	-1.30731
17.6	-0.294553	-1.30527
17.65	-0.394549	-1.30317
17.7	-0.490348	-1.30112
17.75	-0.544691	-1.29923
17.8	-0.586767	-1.29726
17.85	-0.613923	-1.29555
17.9	-0.643298	-1.29364
17.95	-0.686263	-1.29183
18	-0.696727	-1.29009
18.05	-0.681868	-1.2883
18.1	-0.68635	-1.28663
18.15	-0.692945	-1.28504
18.2	-0.696423	-1.28339
18.25	-0.722257	-1.28182
18.3	-0.715253	-1.28026
18.35	-0.717601	-1.27877
18.4	-0.727723	-1.27725
18.45	-0.719139	-1.2757
18.5	-0.718687	-1.27433
18.55	-0.735975	-1.27296
18.6	-0.733087	-1.27168
18.65	-0.740127	-1.27032
18.7	-0.722673	-1.269
18.75	-0.727684	-1.26776
18.8	-0.73181	-1.26646
18.85	-0.712445	-1.26517
18.9	-0.722025	-1.26391
18.95	-0.715734	-1.2626
19	-0.720219	-1.26131
19.05	-0.71959	-1.26007
19.1	-0.704614	-1.25891
19.15	-0.686501	-1.25785
19.2	-0.660016	-1.25675
19.25	-0.650025	-1.25575
19.3	-0.643697	-1.25472
19.35	-0.636772	-1.25376
19.4	-0.651989	-1.25273
19.45	-0.646823	-1.25181
19.5	-0.650764	-1.25088
19.55	-0.656313	-1.24984
19.6	-0.647427	-1.24883
19.65	-0.641877	-1.24792
19.7	-0.64266	-1.24706
19.75	-0.631946	-1.24625
19.8	-0.635031	-1.24531
19.85	-0.610772	-1.24455
19.9	-0.606552	-1.24367
19.95	-0.598957	-1.24287
20	-0.601725	-1.24201
20.05	-0.585424	-1.2411
20.1	-0.575982	-1.24032
20.15	-0.564192	-1.23962
20.2	-0.552203	-1.23901
20.25	-0.559113	-1.23836
20.3	-0.558702	-1.23772
20.35	-0.555937	-1.23701
20.4	-0.540146	-1.23638
20.45	-0.549627	-1.23566
20.5	-0.540611	-1.23504
20.55	-0.531639	-1.23442
20.6	-0.527509	-1.23379
20.65	-0.517679	-1.23313
20.7	-0.497519	-1.23256
20.75	-0.492469	-1.23206
20.8	-0.493099	-1.23153
20.85	-0.47277	-1.23095
20.9	-0.472801	-1.2305
20.95	-0.479821	-1.23005
21	-0.47131	-1.22954
21.05	-0.460513	-1.22912
21.1	-0.447459	-1.22862
21.15	-0.448737	-1.22808
21.2	-0.445658	-1.22756
21.25	-0.428602	-1.22719
21.3	-0.422093	-1.22684
21.35	-0.425241	-1.22634
21.4	-0.429668	-1.2259
21.45	-0.432093	-1.22547
21.5	-0.413074	-1.22498
21.55	-0.420407	-1.22461
21.6	-0.426159	-1.22434
21.65	-0.411245	-1.2239
21.7	-0.402052	-1.22344
21.75	-0.386292	-1.22307
21.8	-0.390914	-1.22271
21.85	-0.384877	-1.22236
21.9	-0.381509	-1.22197
21.95	-0.372463	-1.22165
22	-0.368179	-1.22131
22.05	-0.361036	-1.22102
22.1	-0.358576	-1.2206
22.15	-0.351836	-1.22023
22.2	-0.32741	-1.21992
22.25	-0.313772	-1.2195
22.3	-0.29703	-1.21914
22.35	-0.300021	-1.21873
22.4	-0.287252	-1.2184
22.45	-0.286214	-1.21811
22.5	-0.275229	-1.21775
22.55	-0.276017	-1.21744
22.6	-0.262943	-1.21713
22.65	-0.265601	-1.21682
22.7	-0.227469	-1.21644
22.75	-0.216552	-1.216
22.8	-0.205513	-1.2156
22.85	-0.189265	-1.21517
22.9	-0.189867	-1.21473
22.95	-0.191257	-1.21439
23	-0.187426	-1.21387
23.05	-0.171601	-1.21342
23.1	-0.145926	-1.21297
23.15	-0.123188	-1.21251
23.2	-0.127277	-1.21205
23.25	-0.127029	-1.21147
23.3	-0.100607	-1.21086
23.35	-0.0978638	-1.21019
23.4	-0.0993053	-1.20951
23.45	-0.0696084	-1.20886
23.5	-0.0630285	-1.20813
23.55	-0.0364659	-1.20737
23.6	-0.0238785	-1.20662
23.65	-0.00665797	-1.20573
23.7	0.0282045	-1.20472
23.75	0.054588	-1.20382
23.8	0.0713707	-1.20267
23.85	0.109133	-1.20143
23.9	0.140838	-1.20007
23.95	0.170315	-1.19851
24	0.202201	-1.19684
24.05	0.246598	-1.19498
24.1	0.275564	-1.19314
24.15	0.317791	-1.19109
24.2	0.336755	-1.18898
24.25	0.350459	-1.18675
24.3	0.382354	-1.18435
24.35	0.396162	-1.18183
24.4	0.422858	-1.1793
24.45	0.444053	-1.17679
24.5	0.450445	-1.17409
24.55	0.488104	-1.17129
24.6	0.509134	-1.16825
24.65	0.527442	-1.16517
24.7	0.521574	-1.16209
24.75	0.508264	-1.15893
24.8	0.513494	-1.15576
24.85	0.507644	-1.1524
24.9	0.51569	-1.14905
24.95	0.516255	-1.14564
25	0.513552	-1.1421
25.05	0.516581	-1.13858
25.1	0.516076	-1.13514
25.15	0.501907	-1.13166
25.2	0.506364	-1.12802
25.25	0.484491	-1.1244
25.3	0.470583	-1.12081
25.35	0.458752	-1.11707
25.4	0.448543	-1.1134
25.45	0.428292	-1.10964
25.5	0.414184	-1.10581
25.55	0.393568	-1.10198
25.6	0.373142	-1.09809
25.65	0.349804	-1.09419
25.7	0.322857	-1.09022
25.75	0.314018	-1.0863
25.8	0.306525	-1.08227
25.85	0.283082	-1.07825
25.9	0.27135	-1.0742
25.95	0.257021	-1.07008
26	0.236502	-1.06598
26.05	0.201305	-1.06179
26.1	0.182525	-1.0577
26.15	0.177586	-1.05357
26.2	0.151922	-1.04947
26.25	0.11583	-1.04517
26.3	0.0841206	-1.04089
26.35	0.0414681	-1.03661
26.4	0.00797579	-1.03248
26.45	-0.0262179	-1.02822
26.5	-0.0567506	-1.02394
26.55	-0.0916363	-1.01976
26.6	-0.128191	-1.01562
26.65	-0.138072	-1.01138
26.7	-0.161759	-1.00716
26.75	-0.182858	-1.00291
26.8	-0.206269	-0.998634
26.85	-0.230564	-0.994495
26.9	-0.242253	-0.990261
26.95	-0.262224	-0.986051
27	-0.286269	-0.981963
27.05	-0.300714	-0.977806
27.1	-0.308814	-0.973685
27.15	-0.313291	-0.969488
27.2	-0.335393	-0.965297
27.25	-0.350502	-0.961061
27.3	-0.366413	-0.956931
27.35	-0.386198	-0.952748
27.4	-0.386925	-0.94858
27.45	-0.38338	-0.944412
27.5	-0.373369	-0.940199
27.55	-0.40558	-0.935879
27.6	-0.416396	-0.931671
27.65	-0.425929	-0.927515
27.7	-0.42083	-0.923236
27.75	-0.40269	-0.918977
27.8	-0.387191	-0.914825
27.85	-0.38197	-0.910519
27.9	-0.3983	-0.906156
27.95	-0.393026	-0.901841
28	-0.410336	-0.897471
28.05	-0.410141	-0.893153
28.1	-0.408941	-0.888812
28.15	-0.396278	-0.884509
28.2	-0.376789	-0.880089
28.25	-0.369894	-0.875699
28.3	-0.378774	-0.871368
28.35	-0.353338	-0.86688
28.4	-0.352607	-0.862368
28.45	-0.337765	-0.858059
28.5	-0.323985	-0.85338
28.55	-0.309384	-0.848775
28.6	-0.302139	-0.844316
28.65	-0.286293	-0.83969
28.7	-0.274461	-0.835041
28.75	-0.257986	-0.830322
28.8	-0.257377	-0.825549
28.85	-0.24769	-0.820786
28.9	-0.226626	-0.816014
28.95	-0.188382	-0.811172
29	-0.17735	-0.806413
29.05	-0.181738	-0.801491
29.1	-0.180551	-0.796459
29.15	-0.167545	-0.791338
29.2	-0.158152	-0.786145
29.25	-0.143746	-0.78091
29.3	-0.116324	-0.775678
29.35	-0.0901911	-0.770425
29.4	-0.0813455	-0.7651
29.45	-0.0710816	-0.759718
29.5	-0.0549682	-0.754132
29.55	-0.0425563	-0.74852
29.6	-0.0266453	-0.742774
29.65	-0.00942208	-0.737048
29.7	0.00526636	-0.73116
29.75	0.00681302	-0.725115
29.8	0.0243636	-0.719153
29.85	0.0326986	-0.712995
29.9	0.069325	-0.70666
29.95	0.093196	-0.700163
30	0.110478	-0.693647
30.05	0.127104	-0.687009
30.1	0.145029	-0.680187
30.15	0.162722	-0.673283
30.2	0.186982	-0.666266
30.25	0.2129	-0.659086
30.3	0.223001	-0.651833
30.35	0.250617	-0.644397
30.4	0.269732	-0.63682
30.45	0.290947	-0.629135
30.5	0.333584	-0.62118
30.55	0.343236	-0.613187
30.6	0.369455	-0.605015
30.65	0.385976	-0.596773
30.7	0.408031	-0.588348
30.75	0.431184	-0.579836
30.8	0.46207	-0.571097
30.85	0.498246	-0.562304
30.9	0.523989	-0.553317
30.95	0.55303	-0.544244
31	0.576081	-0.535105
31.05	0.585544	-0.525648
31.1	0.628986	-0.516139
31.15	0.638477	-0.506483
31.2	0.65898	-0.496805
31.25	0.671493	-0.486815
31.3	0.692165	-0.476699
31.35	0.702896	-0.466424
31.4	0.717638	-0.456102
31.45	0.729388	-0.445549
31.5	0.717949	-0.434903
31.55	0.719636	-0.424091
31.6	0.710499	-0.413262
31.65	0.675927	-0.402207
31.7	0.648272	-0.390998
31.75	0.60579	-0.379618
31.8	0.555258	-0.368078
31.85	0.48435	-0.356412
31.9	0.425311	-0.344638
31.95	0.355573	-0.332718
32	0.293626	-0.320604
32.05	0.234518	-0.308201
32.1	0.159709	-0.295788
32.15	0.11394	-0.283294
32.2	0.044637	-0.270598
32.25	-0.00988326	-0.257766
32.3	-0.0730766	-0.244871
32.35	-0.117616	-0.231796
32.4	-0.161962	-0.218675
